User_ID,first_consultation
clur5z7ds00e3m80142kzjlsf,2024-04-08 18:25:46.077000+00:00
clur4u98q00emnl01x5ukm8px,2024-04-08 17:54:01.193000+00:00
clur48hd70074nf014rtpl7a4,2024-04-08 17:36:59.670000+00:00
clur3te95006unf01m29ekyhr,2024-04-08 17:25:15.114000+00:00
clur3qgxp00clm801dbch31x1,2024-04-08 17:23:00.137000+00:00
clur3ptyv00drnl01lcrm6kcx,2024-04-08 17:22:40.857000+00:00
clur2wlvh00cbm8019dmb06cb,2024-04-08 16:59:45.496000+00:00
clur2h0ke00bvm801nz1ceqz4,2024-04-08 16:47:38.789000+00:00
clur25k3200bfm801kld6fxco,2024-04-08 16:38:44.719000+00:00
clur1f6h100c7nl01ykivlmd8,2024-04-08 16:18:12.605000+00:00
clur12a0900bmnl014phvrbzg,2024-04-08 16:08:14.798000+00:00
clur10ddr00anm8016l0s6q1q,2024-04-08 16:06:55.871000+00:00
clur0ksox0060nf01kxsvjlpg,2024-04-08 15:54:36.356000+00:00
clur6xvhn029emt01nnnpgoqc,2024-04-08 17:52:45.501000+00:00
clur6otso028fmg01z3zhjpwc,2024-04-08 17:45:41.764000+00:00
clur665ji03npl301n7pdi19p,2024-04-08 17:31:11.634000+00:00
clur61p0s03mkl30101tqwk0n,2024-04-08 17:27:45.328000+00:00
clur5x9zn025kmt017gl14kqh,2024-04-08 17:24:18.070000+00:00
clur5we7503l5l301oo200e3h,2024-04-08 17:23:35.397000+00:00
clur5vidr03kvl301lk0seegd,2024-04-08 17:22:54.990000+00:00
clur5tb4c024omw01425c5uyk,2024-04-08 17:21:11.849000+00:00
clur5sybr03kdl301dxhez339,2024-04-08 17:20:54.298000+00:00
clur5s3v9024ymt01wujthb7s,2024-04-08 17:20:15.580000+00:00
clur5lawr03j7l301q09gpkyi,2024-04-08 17:14:57.649000+00:00
clur5k6u30254mg01etaijcjm,2024-04-08 17:14:05.684000+00:00
clur5jfbv024kmt01g05uvc9j,2024-04-08 17:13:30.778000+00:00
clur5fo6m03i9l301jvyhw649,2024-04-08 17:10:40.305000+00:00
clur5e0se03hyl3016xjqr7b1,2024-04-08 17:09:18.857000+00:00
clur5a04f024dmt0116iwtx3o,2024-04-08 17:06:23.203000+00:00
clur56cdn03hel301hob262wk,2024-04-08 17:03:19.196000+00:00
clur55q37023kmg01p4r8dd16,2024-04-08 17:02:52.365000+00:00
clur55ht803h5l301dnnzx7s6,2024-04-08 17:02:40.562000+00:00
clur51lxa03gnl301072rjob4,2024-04-08 16:59:38.929000+00:00
clur4yn9q021lmw01ii4osv1h,2024-04-08 16:57:20.938000+00:00
clur4xs8603fll301hyjwcyg3,2024-04-08 16:56:46.697000+00:00
clur4x8u3021dmw01srfrvd86,2024-04-08 16:56:16.472000+00:00
clur4witv0237mt01tyhtd0sa,2024-04-08 16:55:42.768000+00:00
clur4wdmm022cmg01w8lb7z7n,2024-04-08 16:55:34.584000+00:00
clur4usfh03epl301tn0deh3t,2024-04-08 16:54:22.860000+00:00
clur4su7m020umw01e98uomav,2024-04-08 16:52:51.072000+00:00
clur4sni303dul3018zd7pd2x,2024-04-08 16:52:40.641000+00:00
clur4s8t80225mt01ij10cyci,2024-04-08 16:52:21.411000+00:00
clur4s2zx03drl301tm6jbjdr,2024-04-08 16:52:14.055000+00:00
clur4s1bw03dnl301kjh557m4,2024-04-08 16:52:11.959000+00:00
clur4rj5203dgl301vjk86oif,2024-04-08 16:51:48.832000+00:00
clur4oxha020dmw01jy53ple4,2024-04-08 16:49:48.545000+00:00
clur4ony3021nmg0119qgpkxl,2024-04-08 16:49:37.272000+00:00
clur4ne9k03cql301j5dtugqm,2024-04-08 16:48:36.282000+00:00
clur4jzes03c9l301nawyn6nb,2024-04-08 16:45:57.643000+00:00
clur4j5jh01zumw016tiyo5yb,2024-04-08 16:45:18.320000+00:00
clur4hvlb020jmg011kfbpbmg,2024-04-08 16:44:19.469000+00:00
clur4gw7t01zjmw01r96irr0j,2024-04-08 16:43:40.415000+00:00
clur4gid3020amt019mnk1wrl,2024-04-08 16:43:17.725000+00:00
clur4g23903bdl3019srts5y7,2024-04-08 16:43:10.067000+00:00
clur4e6vf01zhmt01j9zr91or,2024-04-08 16:41:27.275000+00:00
clur4brft03agl301uk9v2fcc,2024-04-08 16:39:37.322000+00:00
clur4bq4p03afl3017y5iylls,2024-04-08 16:39:31.263000+00:00
clur4amxy01z6mt01grfk41su,2024-04-08 16:38:44.755000+00:00
clur4626w0399l301fzi13hw3,2024-04-08 16:35:13.176000+00:00
clur45t2j0393l301ngxt5mep,2024-04-08 16:34:55.100000+00:00
clur413b90388l301qxhb03iy,2024-04-08 16:31:17.130000+00:00
clur40qyy01z5mg014tzr3qex,2024-04-08 16:30:59.282000+00:00
clur3zkft037tl301d512yoe9,2024-04-08 16:30:13.515000+00:00
clur3xs2a01xjmw01xtmqibdc,2024-04-08 16:28:42.136000+00:00
clur3xma3037il301k4vuhp3s,2024-04-08 16:28:35.166000+00:00
clur3uwf50373l3016va2ctgk,2024-04-08 16:26:29.568000+00:00
clur3oyru01yfmg0167cwuyzr,2024-04-08 16:21:51.834000+00:00
clur3kg0p035ul301janx0icm,2024-04-08 16:18:20.468000+00:00
clur3i5jp01wgmt01ljvs7epm,2024-04-08 16:16:31.203000+00:00
clur3gqxa01wdmt01bsro177g,2024-04-08 16:15:26.932000+00:00
clur36ywl0340l30171kjc9cj,2024-04-08 16:07:49.427000+00:00
clur2yoia0328l301enir8g7i,2024-04-08 16:01:23.126000+00:00
clur2vrrf01u2mw01auqjyx4f,2024-04-08 15:59:06.979000+00:00
clur2vq230316l3012ns16gbh,2024-04-08 15:59:05.316000+00:00
clur2v15z01tumt010rxt6sse,2024-04-08 15:58:34.361000+00:00
clur2unm301vrmg01en614bfz,2024-04-08 15:58:16.640000+00:00
clur2u98b030ol301jqe38csu,2024-04-08 15:57:57.578000+00:00
clur2tkgq030bl3019njfhuz4,2024-04-08 15:57:27.289000+00:00
clur2t2wd01timt01e0stlmdr,2024-04-08 15:57:01.543000+00:00
clur2s5rv02zul301gvkx6pva,2024-04-08 15:56:22.738000+00:00
clur2plkf02z1l301wrjhcz0a,2024-04-08 15:54:19.697000+00:00
clur2o7vv01s9mt0177nzd3k2,2024-04-08 15:53:18.923000+00:00
clur2nzkg02y7l301klt8vbfv,2024-04-08 15:53:05.056000+00:00
clur2msbz02xql3013uc407d8,2024-04-08 15:52:08.375000+00:00
clur2mjzy02xjl30149qklj04,2024-04-08 15:51:57.348000+00:00
clur2ll8901rwmt01utl2nx99,2024-04-08 15:51:11.565000+00:00
clur2i1yb02wjl301366yejrh,2024-04-08 15:48:31.054000+00:00
clur2ht1b01remt01ihsef1qy,2024-04-08 15:48:15.981000+00:00
clur2gffs02vtl301q89bkuah,2024-04-08 15:47:19.649000+00:00
clur2dmzs01tumg01oy5npe31,2024-04-08 15:45:10.570000+00:00
clur2c7pi02uyl301nwgmevpy,2024-04-08 15:43:57.977000+00:00
clejgslxr00eniw018d6lypko,2024-04-08 16:17:32.445000+00:00
clkna5pgr00npss01bysonvyt,2024-04-08 16:44:39.829000+00:00
clcupi25p3444310torimvrp6md,2024-04-08 16:34:06.341000+00:00
clgqzhdit0ezdkt01q005p14h,2024-04-08 17:02:26.173000+00:00
cl8kokyzu5955200us7fv7py899,2024-04-08 16:17:12.821000+00:00
clt9upxw605ewml0132mhyiz9,2024-04-08 16:17:19.377000+00:00
clt8jug5r019zos0136mq5apl,2024-04-08 17:00:04.934000+00:00
clfjm55vv085cr7013ulzdah3,2024-04-08 15:58:08.722000+00:00
